dim_0,dim_1,dim_2,worker_id,item,path
-0.6795935,0.7511811,0.6022073,jn7bbjc0,fdmyb,resources/fdmyb.png
-0.5502526,0.5738835,0.35305473,jn7bbjc0,fdmyw,resources/fdmyw.png
-0.629506,0.88081414,0.68075085,jn7bbjc0,fnfob,resources/fnfob.png
-0.65967315,0.7314685,0.6282418,jn7bbjc0,fnfow,resources/fnfow.png
-0.47767815,0.5108192,0.30165434,jn7bbjc0,fnfyb,resources/fnfyb.png
-0.5862478,0.78100556,0.65689427,jn7bbjc0,fnfyw,resources/fnfyw.png
-0.47848973,0.5334722,0.32061338,jn7bbjc0,fnmob,resources/fnmob.png
-0.37029564,0.6773826,0.67932373,jn7bbjc0,fnmow,resources/fnmow.png
-0.72261083,0.77762413,0.6120028,jn7bbjc0,fnmyb,resources/fnmyb.png
-0.77897,0.79296887,0.60084015,jn7bbjc0,fnmyw,resources/fnmyw.png
0.47517112,-0.6155747,-0.42859307,jn7bbjc0,pdcnb,resources/pdcnb.png
0.56715536,-0.9263033,-0.895213,jn7bbjc0,pdcns,resources/pdcns.png
-0.05222183,-0.3315202,-0.4274541,jn7bbjc0,pdcob,resources/pdcob.png
-0.001362041,-0.4259749,-0.3819992,jn7bbjc0,pdcos,resources/pdcos.png
0.68823314,-0.5930448,-0.38453788,jn7bbjc0,pdhnb,resources/pdhnb.png
0.29601383,-0.60376674,-0.3608061,jn7bbjc0,pdhns,resources/pdhns.png
0.07846804,-0.35130557,-0.2720538,jn7bbjc0,pdhob,resources/pdhob.png
0.5401984,-0.54053056,-0.008864857,jn7bbjc0,pdhos,resources/pdhos.png
0.28632098,-0.6488771,-0.37501487,jn7bbjc0,pncnb,resources/pncnb.png
0.003767482,-0.69474685,-0.85908043,jn7bbjc0,pncns,resources/pncns.png
0.6821078,-0.8474702,-0.83265984,jn7bbjc0,pncob,resources/pncob.png
-0.034328826,-0.3906645,-0.581908,jn7bbjc0,pncos,resources/pncos.png
0.5171829,-0.561572,-0.26605046,jn7bbjc0,pnhnb,resources/pnhnb.png
0.9386487,-0.20362021,-0.26446006,jn7bbjc0,pnhns,resources/pnhns.png
0.7994104,-0.4591216,-0.23638228,jn7bbjc0,pnhob,resources/pnhob.png
0.85275215,-0.4597259,-0.24924228,jn7bbjc0,pnhos,resources/pnhos.png
-0.6165381,-0.81857044,0.9205962,pbby694o,fdfob,resources/fdfob.png
-0.48766813,-0.44704187,0.46092355,pbby694o,fdfow,resources/fdfow.png
-0.70207596,-0.9816504,1.032227,pbby694o,fdfyb,resources/fdfyb.png
-0.68490314,-0.9195388,0.9777557,pbby694o,fdfyw,resources/fdfyw.png
-0.8273048,-0.8414934,0.8150243,pbby694o,fdmob,resources/fdmob.png
-0.76443416,-0.83015394,0.8281669,pbby694o,fdmow,resources/fdmow.png
-0.6556264,-1.0400755,1.0688598,pbby694o,fdmyb,resources/fdmyb.png
-0.95880955,-1.1694025,0.9543539,pbby694o,fdmyw,resources/fdmyw.png
0.6808534,0.7455863,-0.67426234,pbby694o,fnfob,resources/fnfob.png
0.9751212,0.7285898,-0.62787986,pbby694o,fnfow,resources/fnfow.png
0.3246803,0.6163168,-0.6528777,pbby694o,fnfyb,resources/fnfyb.png
0.33261675,0.96038574,-1.0801057,pbby694o,fnfyw,resources/fnfyw.png
0.30905274,0.32160577,-0.16396119,pbby694o,fnmob,resources/fnmob.png
0.8776666,0.8407051,-0.7728704,pbby694o,fnmow,resources/fnmow.png
0.31128132,0.4380112,-0.34585947,pbby694o,fnmyb,resources/fnmyb.png
0.28803733,0.9050261,-1.0062722,pbby694o,fnmyw,resources/fnmyw.png
-0.65981275,-0.5809668,0.6256072,pbby694o,pdcnb,resources/pdcnb.png
-0.6040505,-0.57427895,0.6302272,pbby694o,pdcns,resources/pdcns.png
-0.18795943,-0.22993924,0.5959937,pbby694o,pdcob,resources/pdcob.png
-0.50167626,-0.5057737,0.64313304,pbby694o,pdcos,resources/pdcos.png
-0.68266976,-0.5838629,0.60211295,pbby694o,pdhnb,resources/pdhnb.png
-0.47382364,-0.37144044,0.22169545,pbby694o,pdhns,resources/pdhns.png
-1.4468565,-1.0327331,1.5189025,pbby694o,pdhob,resources/pdhob.png
-0.34589365,-0.36844108,0.51082534,pbby694o,pdhos,resources/pdhos.png
0.4131213,0.3937166,-0.23146713,pbby694o,pncnb,resources/pncnb.png
0.77031404,0.5660744,-0.44493824,pbby694o,pncns,resources/pncns.png
1.1236181,0.8420352,-0.72600013,pbby694o,pncob,resources/pncob.png
0.31689692,1.2388052,-1.3552593,pbby694o,pncos,resources/pncos.png
0.2592139,0.9531489,-1.0511807,pbby694o,pnhnb,resources/pnhnb.png
0.3416102,0.7122916,-0.7554043,pbby694o,pnhns,resources/pnhns.png
0.7100856,0.7448895,-0.6545748,pbby694o,pnhob,resources/pnhob.png
0.849249,0.86688507,-0.8211485,pbby694o,pnhos,resources/pnhos.png
-0.103490733,-0.394772381,0.224435404,sc2xbd6w,fdfob,resources/fdfob.png
-0.420389831,-0.180685207,0.38718012,sc2xbd6w,fdfow,resources/fdfow.png
-0.686167359,-0.056382049,0.602923036,sc2xbd6w,fdfyb,resources/fdfyb.png
-0.327223808,-0.410365641,0.456504107,sc2xbd6w,fdfyw,resources/fdfyw.png
-0.294309825,-0.443233669,0.352937937,sc2xbd6w,fdmob,resources/fdmob.png
-0.031534325,-0.480375707,0.473841161,sc2xbd6w,fdmow,resources/fdmow.png
-0.272209734,-0.454109699,0.325079262,sc2xbd6w,fdmyb,resources/fdmyb.png
-0.065235004,-0.478594959,0.372235,sc2xbd6w,fdmyw,resources/fdmyw.png
0.543724954,0.081335731,-0.538807273,sc2xbd6w,fnfob,resources/fnfob.png
0.406086713,0.120807253,-0.345562816,sc2xbd6w,fnfow,resources/fnfow.png
0.534811556,-0.139116332,-0.473277956,sc2xbd6w,fnfyb,resources/fnfyb.png
0.455784261,0.085567817,-0.472707689,sc2xbd6w,fnfyw,resources/fnfyw.png
0.685816288,0.053611722,-0.692779541,sc2xbd6w,fnmob,resources/fnmob.png
0.5224033,0.187124223,-0.531643093,sc2xbd6w,fnmow,resources/fnmow.png
0.385979831,0.329329014,-0.522342265,sc2xbd6w,fnmyb,resources/fnmyb.png
0.577839553,0.054001074,-0.568938434,sc2xbd6w,fnmyw,resources/fnmyw.png
-0.578302264,0.123618044,0.495704561,sc2xbd6w,pdcnb,resources/pdcnb.png
-0.568642676,0.06290333,0.483273536,sc2xbd6w,pdcns,resources/pdcns.png
-0.218290374,-0.469263524,0.397189051,sc2xbd6w,pdcob,resources/pdcob.png
-0.530347466,0.125676781,0.439544797,sc2xbd6w,pdcos,resources/pdcos.png
-0.456416577,0.08518362,0.420250952,sc2xbd6w,pdhnb,resources/pdhnb.png
-0.542156756,0.10573379,0.454274058,sc2xbd6w,pdhns,resources/pdhns.png
-0.688832462,-0.025854958,0.620491326,sc2xbd6w,pdhob,resources/pdhob.png
-0.405780673,0.060386743,0.385345936,sc2xbd6w,pdhos,resources/pdhos.png
0.240209192,0.249149531,-0.23893398,sc2xbd6w,pncnb,resources/pncnb.png
0.042234082,0.594449401,-0.288184643,sc2xbd6w,pncns,resources/pncns.png
0.42485407,0.105470195,-0.471818328,sc2xbd6w,pncob,resources/pncob.png
0.317530215,0.309236199,-0.436890721,sc2xbd6w,pncos,resources/pncos.png
0.283814847,0.372185141,-0.471833616,sc2xbd6w,pnhnb,resources/pnhnb.png
0.006005747,0.683130324,-0.29560554,sc2xbd6w,pnhns,resources/pnhns.png
0.295520604,0.175938874,-0.284134656,sc2xbd6w,pnhob,resources/pnhob.png
0.43797785,0.084986895,-0.437859237,sc2xbd6w,pnhos,resources/pnhos.png
