dim_0,dim_1,worker_id,item,path
-0.8798413,1.0982224,79088,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
-0.41148093,0.1491077,79088,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
-0.99433285,1.1004514,79088,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
1.3619069,-1.4612076,79088,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
-0.2832881,0.19436175,79088,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
-0.6777044,1.063342,79088,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
1.4649574,-1.2695838,79088,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
-0.66336185,0.04331315,79088,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
1.2214551,-1.8192888,79088,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
-0.7854395,1.1494305,79088,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
-0.8484872,-0.121287845,79088,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
0.9442729,-1.5009955,79088,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
-0.082907714,0.97549766,79088,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
-0.22220133,-0.22358188,79088,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
1.5681227,-1.3157365,79088,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
-0.9158212,0.97259116,79088,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
-0.43710417,0.45579988,79088,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
0.4069866,0.23219685,79377,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
0.22971447,-0.67644715,79377,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
0.96292645,0.22826076,79377,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
0.53729475,0.704066,79377,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
0.34713325,-0.30502215,79377,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
0.3176194,-0.2265657,79377,CFD-BF-005-022-F,resources/CFD-BF-005-022-F.JPEG
0.78557295,0.5523915,79377,CFD-BF-050-004-HO,resources/CFD-BF-050-004-HO.JPEG
0.6779272,-0.10578312,79377,CFD-BF-050-012-A,resources/CFD-BF-050-012-A.JPEG
0.6698837,0.20222236,79377,CFD-BF-050-036-F,resources/CFD-BF-050-036-F.JPEG
0.8341235,-0.3375795,79377,CFD-BM-002-002-F,resources/CFD-BM-002-002-F.JPEG
0.87705725,0.73315036,79377,CFD-BM-002-007-HO,resources/CFD-BM-002-007-HO.JPEG
0.313756,-0.56596404,79377,CFD-BM-002-016-A,resources/CFD-BM-002-016-A.JPEG
0.56017405,0.6079722,79377,CFD-BM-009-003-HO,resources/CFD-BM-009-003-HO.JPEG
0.5275384,-0.6204061,79377,CFD-BM-009-008-A,resources/CFD-BM-009-008-A.JPEG
0.57954085,-0.02212336,79377,CFD-BM-009-009-F,resources/CFD-BM-009-009-F.JPEG
0.4256695,0.6116307,79377,CFD-BM-038-007-HO,resources/CFD-BM-038-007-HO.JPEG
-0.1273161,-1.1568239,79377,CFD-BM-038-017-F,resources/CFD-BM-038-017-F.JPEG
0.7408492,-0.20890276,79377,CFD-BM-038-038-A,resources/CFD-BM-038-038-A.JPEG
-0.33968642,0.35894695,79377,CFD-WF-001-009-HO,resources/CFD-WF-001-009-HO.JPEG
-0.32663006,-0.68767583,79377,CFD-WF-001-016-A,resources/CFD-WF-001-016-A.JPEG
-0.32364446,-0.9320479,79377,CFD-WF-001-027-F,resources/CFD-WF-001-027-F.JPEG
-0.47670355,-0.60118896,79377,CFD-WF-020-012-A,resources/CFD-WF-020-012-A.JPEG
-0.15361841,0.25295615,79377,CFD-WF-020-023-HO,resources/CFD-WF-020-023-HO.JPEG
-0.83693814,-0.24538282,79377,CFD-WF-020-027-F,resources/CFD-WF-020-027-F.JPEG
-0.70934224,-0.8241559,79377,CFD-WF-026-008-A,resources/CFD-WF-026-008-A.JPEG
-0.29411274,0.49786296,79377,CFD-WF-026-017-HO,resources/CFD-WF-026-017-HO.JPEG
0.21126966,0.16715826,79377,CFD-WF-026-024-F,resources/CFD-WF-026-024-F.JPEG
-0.31247526,0.34468666,79377,CFD-WM-023-004-HO,resources/CFD-WM-023-004-HO.JPEG
-0.67929035,-0.06056945,79377,CFD-WM-023-012-A,resources/CFD-WM-023-012-A.JPEG
-0.5249297,0.11517621,79377,CFD-WM-023-015-F,resources/CFD-WM-023-015-F.JPEG
-0.8600945,0.6154751,79377,CFD-WM-033-007-HO,resources/CFD-WM-033-007-HO.JPEG
-0.74490106,-0.22761205,79377,CFD-WM-033-014-A,resources/CFD-WM-033-014-A.JPEG
-0.86819786,0.52152914,79377,CFD-WM-033-053-F,resources/CFD-WM-033-053-F.JPEG
-0.53505665,0.88903135,79377,CFD-WM-038-005-HO,resources/CFD-WM-038-005-HO.JPEG
-0.82366425,-0.23809932,79377,CFD-WM-038-011-A,resources/CFD-WM-038-011-A.JPEG
-0.7998722,-0.16580771,79377,CFD-WM-038-018-F,resources/CFD-WM-038-018-F.JPEG
0.59724057,0.40212253,80900,CFD-BF-002-004-HO,resources/CFD-BF-002-004-HO.JPEG
-0.39497432,-0.44539014,80900,CFD-BF-002-018-A,resources/CFD-BF-002-018-A.JPEG
0.11607815,-0.3969018,80900,CFD-BF-002-022-F,resources/CFD-BF-002-022-F.JPEG
0.100302175,0.46902752,80900,CFD-BF-005-005-HO,resources/CFD-BF-005-005-HO.JPEG
-0.25835425,-0.48449373,80900,CFD-BF-005-020-A,resources/CFD-BF-005-020-A.JPEG
